day_id,day_date,day_name,month_id,month_of_year,month_name,year_id,year_name
160101,2016-01-01,Friday,1601,1,January,16,CY2016
160102,2016-01-02,Saturday,1601,1,January,16,CY2016
160103,2016-01-03,Sunday,1601,1,January,16,CY2016
160104,2016-01-04,Monday,1601,1,January,16,CY2016
160105,2016-01-05,Tuesday,1601,1,January,16,CY2016
160106,2016-01-06,Wednesday,1601,1,January,16,CY2016
160107,2016-01-07,Thursday,1601,1,January,16,CY2016
160108,2016-01-08,Friday,1601,1,January,16,CY2016
160109,2016-01-09,Saturday,1601,1,January,16,CY2016
160110,2016-01-10,Sunday,1601,1,January,16,CY2016
160111,2016-01-11,Monday,1601,1,January,16,CY2016
160112,2016-01-12,Tuesday,1601,1,January,16,CY2016
160113,2016-01-13,Wednesday,1601,1,January,16,CY2016
160114,2016-01-14,Thursday,1601,1,January,16,CY2016
160115,2016-01-15,Friday,1601,1,January,16,CY2016
160116,2016-01-16,Saturday,1601,1,January,16,CY2016
160117,2016-01-17,Sunday,1601,1,January,16,CY2016
160118,2016-01-18,Monday,1601,1,January,16,CY2016
160119,2016-01-19,Tuesday,1601,1,January,16,CY2016
160120,2016-01-20,Wednesday,1601,1,January,16,CY2016
160121,2016-01-21,Thursday,1601,1,January,16,CY2016
160122,2016-01-22,Friday,1601,1,January,16,CY2016
160123,2016-01-23,Saturday,1601,1,January,16,CY2016
160124,2016-01-24,Sunday,1601,1,January,16,CY2016
160125,2016-01-25,Monday,1601,1,January,16,CY2016
160126,2016-01-26,Tuesday,1601,1,January,16,CY2016
160127,2016-01-27,Wednesday,1601,1,January,16,CY2016
160128,2016-01-28,Thursday,1601,1,January,16,CY2016
160129,2016-01-29,Friday,1601,1,January,16,CY2016
160130,2016-01-30,Saturday,1601,1,January,16,CY2016
160131,2016-01-31,Sunday,1601,1,January,16,CY2016
160201,2016-02-01,Monday,1602,2,February,16,CY2016
160202,2016-02-02,Tuesday,1602,2,February,16,CY2016
160203,2016-02-03,Wednesday,1602,2,February,16,CY2016
160204,2016-02-04,Thursday,1602,2,February,16,CY2016
160205,2016-02-05,Friday,1602,2,February,16,CY2016
160206,2016-02-06,Saturday,1602,2,February,16,CY2016
160207,2016-02-07,Sunday,1602,2,February,16,CY2016
160208,2016-02-08,Monday,1602,2,February,16,CY2016
160209,2016-02-09,Tuesday,1602,2,February,16,CY2016
160210,2016-02-10,Wednesday,1602,2,February,16,CY2016
160211,2016-02-11,Thursday,1602,2,February,16,CY2016
160212,2016-02-12,Friday,1602,2,February,16,CY2016
160213,2016-02-13,Saturday,1602,2,February,16,CY2016
160214,2016-02-14,Sunday,1602,2,February,16,CY2016
160215,2016-02-15,Monday,1602,2,February,16,CY2016
160216,2016-02-16,Tuesday,1602,2,February,16,CY2016
160217,2016-02-17,Wednesday,1602,2,February,16,CY2016
160218,2016-02-18,Thursday,1602,2,February,16,CY2016
160219,2016-02-19,Friday,1602,2,February,16,CY2016
160220,2016-02-20,Saturday,1602,2,February,16,CY2016
160221,2016-02-21,Sunday,1602,2,February,16,CY2016
160222,2016-02-22,Monday,1602,2,February,16,CY2016
160223,2016-02-23,Tuesday,1602,2,February,16,CY2016
160224,2016-02-24,Wednesday,1602,2,February,16,CY2016
160225,2016-02-25,Thursday,1602,2,February,16,CY2016
160226,2016-02-26,Friday,1602,2,February,16,CY2016
160227,2016-02-27,Saturday,1602,2,February,16,CY2016
160228,2016-02-28,Sunday,1602,2,February,16,CY2016
160229,2016-02-29,Monday,1602,2,February,16,CY2016
160301,2016-03-01,Tuesday,1603,3,March,16,CY2016
160302,2016-03-02,Wednesday,1603,3,March,16,CY2016
160303,2016-03-03,Thursday,1603,3,March,16,CY2016
160304,2016-03-04,Friday,1603,3,March,16,CY2016
160305,2016-03-05,Saturday,1603,3,March,16,CY2016
160306,2016-03-06,Sunday,1603,3,March,16,CY2016
160307,2016-03-07,Monday,1603,3,March,16,CY2016
160308,2016-03-08,Tuesday,1603,3,March,16,CY2016
160309,2016-03-09,Wednesday,1603,3,March,16,CY2016
160310,2016-03-10,Thursday,1603,3,March,16,CY2016
160311,2016-03-11,Friday,1603,3,March,16,CY2016
160312,2016-03-12,Saturday,1603,3,March,16,CY2016
160313,2016-03-13,Sunday,1603,3,March,16,CY2016
160314,2016-03-14,Monday,1603,3,March,16,CY2016
160315,2016-03-15,Tuesday,1603,3,March,16,CY2016
160316,2016-03-16,Wednesday,1603,3,March,16,CY2016
160317,2016-03-17,Thursday,1603,3,March,16,CY2016
160318,2016-03-18,Friday,1603,3,March,16,CY2016
160319,2016-03-19,Saturday,1603,3,March,16,CY2016
160320,2016-03-20,Sunday,1603,3,March,16,CY2016
160321,2016-03-21,Monday,1603,3,March,16,CY2016
160322,2016-03-22,Tuesday,1603,3,March,16,CY2016
160323,2016-03-23,Wednesday,1603,3,March,16,CY2016
160324,2016-03-24,Thursday,1603,3,March,16,CY2016
